date,open,high,low,close,volume,eob,pct_chg,ssf_s,ssf_m,ssf_m_20,ssf_l,grid_coupling
2024-12-25,8.39,8.4,8.03,8.13,33778201,2024-12-25 00:00:00+08:00,-3.21,9.043461522248286,10.125734411582215,12.150881293898658,6.6807071715855475,9.752786002056727
2024-12-26,8.19,8.25,8.11,8.13,20247243,2024-12-26 00:00:00+08:00,0.0,8.996290766389246,10.153919084374651,12.184702901249581,6.735686409183449,9.752786002056727
2024-12-27,8.13,8.33,8.11,8.25,30555655,2024-12-27 00:00:00+08:00,1.48,8.93841328439863,10.17782104324713,12.213385251896556,6.790545633765506,9.752786002056727
2024-12-30,8.24,8.26,8.08,8.12,21449300,2024-12-30 00:00:00+08:00,-1.58,8.871312603812662,10.19746299074406,12.236955588892872,6.84524414729699,9.752786002056727
2024-12-31,8.12,8.19,7.85,7.85,24331611,2024-12-31 00:00:00+08:00,-3.33,8.795077042270856,10.21284779729741,12.255417356756892,6.89973841691918,9.752786002056727
2025-01-02,7.83,7.92,7.59,7.66,27514626,2025-01-02 00:00:00+08:00,-2.42,8.709535341401292,10.223971936167835,12.268766323401403,6.953983508875303,9.752786002056727
2025-01-09,7.41,7.55,7.4,7.47,17489597,2025-01-09 00:00:00+08:00,0.0,8.157708748842317,10.21564893529479,12.258778722353748,7.219859987466426,7.884087106313339
2025-01-10,7.46,7.52,7.22,7.22,17688267,2025-01-10 00:00:00+08:00,-3.35,8.040525801648613,10.2015315637581,12.24183787650972,7.271675348789536,7.884087106313339
2025-01-13,7.17,7.27,7.0,7.23,18648102,2025-01-13 00:00:00+08:00,0.14,7.925657607257855,10.183414550111625,12.22009746013395,7.322944176217017,7.884087106313339
2025-01-14,7.28,7.52,7.22,7.51,28685258,2025-01-14 00:00:00+08:00,3.87,7.816990010851968,10.161424423569027,12.193709308282832,7.373633391029096,7.884087106313339
2025-01-15,7.48,7.74,7.36,7.54,41952718,2025-01-15 00:00:00+08:00,0.4,7.71769257788043,10.13570210993191,12.16284253191829,7.423711925440254,7.884087106313339
2025-01-16,7.53,7.88,7.49,7.6,37460716,2025-01-16 00:00:00+08:00,0.8,7.63040289235334,10.106405371534509,12.12768644584141,7.473151135942677,7.884087106313339
2025-01-17,7.57,7.64,7.47,7.58,21376946,2025-01-17 00:00:00+08:00,-0.26,7.556544525307119,10.073695911898943,12.088435094278731,7.521923490929996,7.884087106313339
2025-01-20,7.77,7.85,7.62,7.68,35016683,2025-01-20 00:00:00+08:00,1.32,7.497440181049619,10.037754965179271,12.045305958215126,7.570004417962317,7.884087106313339
2025-01-21,7.78,7.78,7.52,7.64,21385455,2025-01-21 00:00:00+08:00,-0.52,7.4531036057846105,9.998761792192209,11.99851415063065,7.617370032118691,7.884087106313339
2025-01-22,7.62,7.71,7.55,7.6,17591702,2025-01-22 00:00:00+08:00,-0.52,7.422576568512493,9.95689337163164,11.948272045957967,7.6639971426085305,7.884087106313339
2025-01-23,7.66,7.81,7.54,7.54,32266138,2025-01-23 00:00:00+08:00,-0.79,7.404074430604497,9.912321385100217,11.89478566212026,7.709862948944155,7.884087106313339
2025-01-24,7.54,7.64,7.51,7.6,18379016,2025-01-24 00:00:00+08:00,0.8,7.396194280393974,9.865228577195284,11.83827429263434,7.754946919250764,7.884087106313339
2025-01-27,7.65,7.7,7.43,7.43,17695140,2025-01-27 00:00:00+08:00,-2.24,7.396086372594473,9.8157757286156,11.77893087433872,7.799227155616993,7.884087106313339
2025-02-05,7.5,7.55,7.43,7.5,15666869,2025-02-05 00:00:00+08:00,0.94,7.401872489175691,9.764136029488132,11.716963235385757,7.842684215801684,7.884087106313339
2025-02-06,7.46,7.68,7.4,7.68,27354853,2025-02-06 00:00:00+08:00,2.4,7.413216296517569,9.710508238630142,11.65260988635617,7.88530273232765,7.884087106313339
2025-02-07,7.64,7.88,7.64,7.79,34219068,2025-02-07 00:00:00+08:00,1.43,7.430255468877155,9.655103855598625,11.58612462671835,7.927070160836079,7.884087106313339
2025-02-10,8.06,8.15,7.85,8.01,49207300,2025-02-10 00:00:00+08:00,2.82,7.4542073353939315,9.598159994349308,11.517791993219168,7.967978373154035,7.884087106313339
