code,strat,trades,winrate,avg_ret,total_ret,avg_hold,max_dd,stops
000066,V10,13,0.3846,0.0090,0.5300,62.69,-0.5110,0
000066,V11,15,0.5333,0.0635,2.8282,26.53,-0.3499,14
300437,V10,6,0.3333,-0.0050,0.1632,92.33,-0.4283,0
300437,V11,12,0.6667,0.0091,0.5266,22.83,-0.1790,11
688387,V10,2,1.0000,0.1050,0.2626,50.50,-0.1635,0
688387,V11,2,1.0000,0.1254,0.4003,20.00,-0.1417,2
